date,region,product,channel,units_sold,unit_price,revenue,customer_segment
2026-01-03,North,Laptop,Online,12,899,10788,SMB
2026-01-04,South,Monitor,Retail,18,249,4482,Consumer
2026-01-05,East,Keyboard,Online,35,79,2765,Consumer
2026-01-06,West,Laptop,Partner,9,899,8091,Enterprise
2026-01-07,North,Mouse,Online,42,39,1638,Consumer
2026-01-08,South,Monitor,Online,21,249,5229,SMB
2026-01-09,East,Laptop,Retail,7,899,6293,Enterprise
2026-01-10,West,Keyboard,Partner,28,79,2212,SMB
2026-01-11,North,Monitor,Retail,15,249,3735,Consumer
2026-01-12,South,Mouse,Online,55,39,2145,Consumer
2026-01-13,East,Laptop,Online,11,899,9889,SMB
2026-01-14,West,Monitor,Partner,13,249,3237,Enterprise
2026-01-15,North,Keyboard,Online,31,79,2449,SMB
2026-01-16,South,Laptop,Retail,8,899,7192,Enterprise
2026-01-17,East,Mouse,Online,47,39,1833,Consumer
2026-01-18,West,Laptop,Online,10,899,8990,SMB
2026-01-19,North,Monitor,Partner,17,249,4233,Enterprise
2026-01-20,South,Keyboard,Online,29,79,2291,Consumer
2026-01-21,East,Monitor,Retail,16,249,3984,SMB
2026-01-22,West,Mouse,Online,50,39,1950,Consumer
2026-01-23,North,Laptop,Retail,6,899,5394,Enterprise
2026-01-24,South,Monitor,Partner,14,249,3486,SMB
2026-01-25,East,Keyboard,Online,33,79,2607,Consumer
2026-01-26,West,Mouse,Retail,38,39,1482,Consumer
